Date, Open, High, Low, Close
09/28/15, 348.85, 349.25, 341.57, 341.57
09/25/15, 343.61, 350.92, 343.61, 349.28
09/24/15, 346.51, 348.11, 338.21, 339.63
09/23/15, 346.63, 350.65, 344.82, 346.97
09/22/15, 357.64, 357.84, 346.67, 346.67
09/21/15, 354.95, 359.53, 354.00, 357.83
09/18/15, 359.56, 359.56, 352.67, 354.77
09/17/15, 362.07, 362.58, 360.40, 361.21
09/16/15, 358.05, 362.05, 358.05, 361.87
09/15/15, 354.19, 357.55, 351.70, 356.43
09/14/15, 355.83, 358.93, 352.87, 353.63
09/11/15, 359.35, 359.58, 355.18, 355.72
09/10/15, 361.13, 363.38, 358.05, 359.34
09/09/15, 363.39, 368.29, 363.39, 363.77
09/08/15, 356.25, 362.79, 356.25, 359.00
09/07/15, 354.80, 357.36, 353.78, 354.81
09/04/15, 360.10, 360.10, 352.37, 353.11
09/03/15, 355.87, 363.97, 355.87, 362.24
09/02/15, 352.86, 357.00, 350.78, 353.86
09/01/15, 359.96, 359.96, 350.69, 352.89
08/31/15, 362.71, 363.59, 360.79, 362.79
08/28/15, 362.43, 363.28, 358.69, 363.28
08/27/15, 354.96, 363.46, 354.96, 362.27
08/26/15, 353.07, 357.11, 346.58, 350.14
08/25/15, 345.05, 358.03, 345.05, 356.36
08/24/15, 353.55, 353.55, 331.98, 342.01
08/21/15, 370.08, 371.75, 361.28, 361.28
08/20/15, 379.66, 380.01, 373.22, 373.44
08/19/15, 386.66, 386.66, 381.31, 381.31
08/18/15, 386.88, 389.25, 385.69, 388.13
08/17/15, 388.27, 390.45, 384.00, 387.26
08/14/15, 386.63, 388.93, 384.60, 386.24
08/13/15, 385.97, 390.13, 385.97, 386.69
08/12/15, 391.37, 391.37, 381.73, 382.99
08/11/15, 399.76, 399.76, 393.29, 393.61
08/10/15, 398.09, 399.93, 394.41, 399.82
08/07/15, 400.39, 400.39, 396.96, 397.07
08/06/15, 402.81, 403.17, 400.70, 400.70
08/05/15, 400.28, 404.04, 400.28, 403.93
08/04/15, 399.16, 399.49, 397.01, 398.75
08/03/15, 397.35, 399.89, 396.72, 399.44
07/31/15, 396.44, 397.19, 393.67, 396.37
07/30/15, 395.86, 396.77, 393.89, 396.24
07/29/15, 391.27, 394.25, 390.26, 394.01
07/28/15, 387.54, 391.13, 387.02, 390.02
07/27/15, 393.09, 393.09, 385.74, 385.91
07/24/15, 397.81, 400.21, 394.25, 394.64
07/23/15, 401.52, 402.55, 397.30, 398.10
07/22/15, 401.28, 401.76, 399.56, 400.28
07/21/15, 407.54, 407.94, 401.85, 402.66
07/20/15, 405.90, 408.73, 405.90, 406.80
07/17/15, 406.61, 406.79, 404.93, 405.68
07/16/15, 401.51, 406.77, 401.51, 405.43
07/15/15, 398.84, 400.35, 397.70, 400.03
07/14/15, 396.18, 398.30, 394.80, 398.30
07/13/15, 391.28, 396.60, 391.28, 396.46
07/10/15, 384.37, 389.24, 384.37, 388.80
07/09/15, 373.88, 381.93, 373.85, 381.06
07/08/15, 372.36, 375.03, 371.33, 372.88
07/07/15, 379.52, 380.14, 372.74, 372.74
07/06/15, 380.78, 381.33, 377.33, 378.68
07/03/15, 385.61, 385.74, 382.10, 383.42
07/02/15, 387.48, 388.31, 385.42, 385.46
07/01/15, 382.76, 389.83, 382.76, 387.07
06/30/15, 385.46, 386.11, 380.83, 381.31
06/29/15, 390.78, 391.23, 384.01, 386.17
06/26/15, 395.18, 398.20, 393.12, 396.85
06/25/15, 395.71, 399.38, 394.31, 396.39
06/24/15, 399.27, 400.12, 395.89, 397.32
06/23/15, 397.20, 400.89, 397.20, 398.83
06/22/15, 388.31, 394.41, 388.31, 394.25
06/19/15, 384.96, 388.86, 384.85, 385.59
06/18/15, 382.74, 384.22, 378.07, 384.22
06/17/15, 385.53, 386.78, 382.55, 383.74
06/16/15, 381.78, 386.34, 379.01, 385.49
06/15/15, 387.70, 387.70, 382.85, 383.02
06/12/15, 392.77, 393.96, 387.21, 389.38
06/11/15, 389.70, 395.55, 389.30, 393.00
06/10/15, 383.20, 391.46, 381.80, 390.78
06/09/15, 384.85, 385.36, 380.10, 383.87
06/08/15, 388.95, 389.69, 385.39, 385.39
06/05/15, 391.63, 391.63, 387.02, 389.00
06/04/15, 395.29, 395.72, 388.55, 392.65
06/03/15, 396.72, 400.03, 395.76, 395.93
06/02/15, 400.87, 401.05, 395.54, 396.45
06/01/15, 401.08, 403.44, 399.33, 400.57
05/29/15, 406.66, 407.10, 399.65, 399.87
05/28/15, 407.77, 408.23, 405.01, 406.83
05/27/15, 404.21, 409.48, 404.01, 408.88
05/26/15, 407.63, 408.87, 402.70, 403.61
05/25/15, 408.08, 408.08, 406.54, 406.56
05/22/15, 407.83, 408.87, 406.23, 407.74
05/21/15, 405.84, 408.08, 404.64, 407.87
05/20/15, 405.32, 406.92, 403.60, 406.42
05/19/15, 399.93, 404.91, 399.93, 404.78
05/18/15, 396.24, 398.86, 393.78, 398.09
05/15/15, 398.56, 400.90, 395.23, 396.45
05/14/15, 394.30, 398.58, 392.06, 397.99
05/13/15, 396.76, 400.26, 394.38, 395.46
05/12/15, 399.92, 399.92, 393.09, 396.09
05/11/15, 400.04, 402.00, 399.41, 401.34
05/08/15, 393.75, 400.18, 393.75, 400.16
05/07/15, 387.37, 389.76, 381.85, 388.98
05/06/15, 390.46, 392.29, 387.16, 388.68
05/05/15, 397.78, 401.14, 391.01, 391.01
05/04/15, 395.11, 397.98, 393.87, 396.82
05/01/15, 395.26, 395.58, 394.07, 394.66
04/30/15, 397.43, 397.98, 393.46, 395.79
04/29/15, 407.07, 408.23, 397.22, 397.30
04/28/15, 411.87, 411.87, 403.86, 406.28
04/27/15, 408.67, 412.67, 405.56, 412.42
04/24/15, 407.30, 409.95, 406.92, 408.42
04/23/15, 409.39, 410.72, 405.11, 407.18
04/22/15, 409.64, 411.40, 405.93, 408.99
04/21/15, 408.27, 412.11, 407.82, 409.12
04/20/15, 404.12, 407.08, 404.12, 406.87
04/17/15, 410.22, 410.94, 403.12, 403.69
04/16/15, 414.31, 414.31, 410.43, 410.93
04/15/15, 412.28, 415.18, 412.17, 414.06
04/14/15, 413.88, 414.67, 410.37, 411.70
04/13/15, 412.64, 414.25, 411.73, 413.63
04/10/15, 409.90, 413.03, 409.90, 412.93
04/09/15, 405.45, 409.15, 405.45, 409.15
04/08/15, 404.37, 405.78, 404.03, 404.66
04/07/15, 399.21, 404.95, 399.21, 404.34
04/02/15, 398.21, 398.80, 397.23, 397.80
04/01/15, 396.39, 400.89, 395.15, 398.52
03/31/15, 400.07, 401.75, 396.00, 397.30
03/30/15, 396.03, 400.18, 396.03, 399.84
03/27/15, 396.08, 397.78, 394.58, 395.54
03/26/15, 396.15, 396.15, 390.65, 394.54
03/25/15, 401.63, 402.02, 397.55, 397.95
03/24/15, 400.41, 403.51, 399.22, 402.49
03/23/15, 403.30, 403.30, 400.07, 401.24
03/20/15, 400.57, 404.51, 400.38, 404.01
03/19/15, 399.05, 402.09, 398.51, 400.83
03/18/15, 397.64, 399.06, 395.72, 398.65
03/17/15, 400.12, 400.95, 395.73, 397.33
03/16/15, 397.25, 400.74, 397.25, 400.18
03/13/15, 395.79, 396.61, 393.98, 396.61
03/12/15, 395.63, 396.94, 395.22, 395.36
03/11/15, 390.57, 395.75, 390.57, 395.48
03/10/15, 393.31, 394.15, 389.43, 389.66
03/09/15, 393.33, 393.61, 390.71, 393.19
03/06/15, 393.63, 396.44, 393.51, 394.18
03/05/15, 390.85, 394.31, 390.85, 393.78
03/04/15, 388.02, 390.61, 386.85, 390.61
03/03/15, 391.57, 392.53, 387.48, 387.68
03/02/15, 391.82, 393.19, 389.66, 391.29
02/27/15, 391.14, 392.24, 389.58, 392.21
02/26/15, 387.29, 390.69, 387.01, 390.69
02/25/15, 386.99, 387.27, 385.69, 386.76
02/24/15, 385.40, 387.53, 384.43, 387.25
02/23/15, 383.64, 385.08, 383.19, 385.08
02/20/15, 381.25, 382.31, 380.69, 382.27
02/19/15, 379.25, 381.79, 377.35, 381.41
